model,context_id,human_average_rating,response,prevgt,all_references,context
human,73_4,4.8,great . why did you become a software engineer ?,then tell me something about your background .,okay . what experience do you have ?	how many years of software engineering do you have ?	did you bring a resume ?	then tell me something about your background .,"excuse me . i have an appointment with mr . li at nine . may i come in ?||||yes , come in please . i am mr . li . you must be my liu , right ?||||yes , i am my liu . thanks .||||i 'd like to start this interview with some questions . why do you think you are qualified for this position ?||||according to your advertisement , you want an experienced software engineer . i think my background meets the requirement of this position ."
hredf,73_4,2.4,"well , i see .",then tell me something about your background .,okay . what experience do you have ?	how many years of software engineering do you have ?	did you bring a resume ?	then tell me something about your background .,"excuse me . i have an appointment with mr . li at nine . may i come in ?||||yes , come in please . i am mr . li . you must be my liu , right ?||||yes , i am my liu . thanks .||||i 'd like to start this interview with some questions . why do you think you are qualified for this position ?||||according to your advertisement , you want an experienced software engineer . i think my background meets the requirement of this position ."
seq2seqf,73_4,2.4,what kind of job are you interested in ?,then tell me something about your background .,okay . what experience do you have ?	how many years of software engineering do you have ?	did you bring a resume ?	then tell me something about your background .,"excuse me . i have an appointment with mr . li at nine . may i come in ?||||yes , come in please . i am mr . li . you must be my liu , right ?||||yes , i am my liu . thanks .||||i 'd like to start this interview with some questions . why do you think you are qualified for this position ?||||according to your advertisement , you want an experienced software engineer . i think my background meets the requirement of this position ."
CVAEf,73_4,1.6,that is great . would you mind changing your company and typing ?,then tell me something about your background .,okay . what experience do you have ?	how many years of software engineering do you have ?	did you bring a resume ?	then tell me something about your background .,"excuse me . i have an appointment with mr . li at nine . may i come in ?||||yes , come in please . i am mr . li . you must be my liu , right ?||||yes , i am my liu . thanks .||||i 'd like to start this interview with some questions . why do you think you are qualified for this position ?||||according to your advertisement , you want an experienced software engineer . i think my background meets the requirement of this position ."
dualencoder_train,73_4,1.2,i 'm very surprised to hear you say that . i think our price is very favorable . you can hardly get such an attractive price from other suppliers .,then tell me something about your background .,okay . what experience do you have ?	how many years of software engineering do you have ?	did you bring a resume ?	then tell me something about your background .,"excuse me . i have an appointment with mr . li at nine . may i come in ?||||yes , come in please . i am mr . li . you must be my liu , right ?||||yes , i am my liu . thanks .||||i 'd like to start this interview with some questions . why do you think you are qualified for this position ?||||according to your advertisement , you want an experienced software engineer . i think my background meets the requirement of this position ."
hredf,98_1,3.5,would you like anything to drink ?,would you care for some lemon for your tea ?,sounds great !	coming right up !	perfect ! anything eles	would you care for some lemon for your tea ?,"what would you like to eat , sir ?||||scrambled egg , bacon , three pieces of bread and a cup of tea ."
CVAEf,98_1,1.8,would you like coffee or coffee ?,would you care for some lemon for your tea ?,sounds great !	coming right up !	perfect ! anything eles	would you care for some lemon for your tea ?,"what would you like to eat , sir ?||||scrambled egg , bacon , three pieces of bread and a cup of tea ."
human,98_1,5.0,"that 's a great choice , i 'll let the kitchen know right away .",would you care for some lemon for your tea ?,sounds great !	coming right up !	perfect ! anything eles	would you care for some lemon for your tea ?,"what would you like to eat , sir ?||||scrambled egg , bacon , three pieces of bread and a cup of tea ."
dualencoder_train,98_1,1.8,what would you like for appetizer and dinner ?,would you care for some lemon for your tea ?,sounds great !	coming right up !	perfect ! anything eles	would you care for some lemon for your tea ?,"what would you like to eat , sir ?||||scrambled egg , bacon , three pieces of bread and a cup of tea ."
seq2seqf,98_1,2.0,what kind of food do you like ?,would you care for some lemon for your tea ?,sounds great !	coming right up !	perfect ! anything eles	would you care for some lemon for your tea ?,"what would you like to eat , sir ?||||scrambled egg , bacon , three pieces of bread and a cup of tea ."
dualencoder_train,91_1,1.4,really ? look at the toe of this shoe . it is worn out .,so you have all the news on broadcast ?,that 's so cool .   how is it ?	is the driver mate helpful ?	will the driver mate allow you to drive hands free ?	so you have all the news on broadcast ?,how do you get road news ?||||i 've a driver mate in my car !
CVAEf,91_1,2.6,you mean it !,so you have all the news on broadcast ?,that 's so cool .   how is it ?	is the driver mate helpful ?	will the driver mate allow you to drive hands free ?	so you have all the news on broadcast ?,how do you get road news ?||||i 've a driver mate in my car !
human,91_1,4.8,that is nice . i want to get one too,so you have all the news on broadcast ?,that 's so cool .   how is it ?	is the driver mate helpful ?	will the driver mate allow you to drive hands free ?	so you have all the news on broadcast ?,how do you get road news ?||||i 've a driver mate in my car !
